Site,ID,H11,H12,H13,H21,H22,H23,H31,H32,H33,AveH1,AveH2,AveH3
Arngren,7,,,,,,,,,,"#DIV/0!","#DIV/0!","#DIV/0!"
Arngren,8,,,,,,,,,,"#DIV/0!","#DIV/0!","#DIV/0!"
Arngren,9,,,,,,,,,,"#DIV/0!","#DIV/0!","#DIV/0!"
Arngren,10,,,,,,,,,,"#DIV/0!","#DIV/0!","#DIV/0!"
Arngren,11,,,,,,,,,,"#DIV/0!","#DIV/0!","#DIV/0!"
Arngren,12,,,,,,,,,,"#DIV/0!","#DIV/0!","#DIV/0!"
Arngren,13,,,,,,,,,,"#DIV/0!","#DIV/0!","#DIV/0!"
Arngren,14,,,,,,,,,,"#DIV/0!","#DIV/0!","#DIV/0!"
Arngren,15,,,,,,,,,,"#DIV/0!","#DIV/0!","#DIV/0!"
Azteca Soccer,1,3,,,3,,,4,,,3,3,4
Azteca Soccer,2,3,,,3,,,4,,,3,3,4
Azteca Soccer,3,3,,,4,,,4,,,3,4,4
Azteca Soccer,4,3,,,3,,,4,,,3,3,4
Azteca Soccer,5,3,,,3,,,4,,,3,3,4
Azteca Soccer,6,3,,,3,,,4,,,3,3,4
Azteca Soccer,7,2,,,2,,,2,,,2,2,2
Azteca Soccer,8,3,,,2,,,3,,,3,2,3
Azteca Soccer,9,3,,,3,,,4,,,3,3,4
Azteca Soccer,10,3,,,3,,,4,,,3,3,4
Azteca Soccer,11,3,,,2,,,3,,,3,2,3
Azteca Soccer,12,3,,,3,,,3,,,3,3,3
Azteca Soccer,13,4,,,3,,,3,,,4,3,3
Azteca Soccer,14,4,,,3,,,3,,,4,3,3
Azteca Soccer,15,3,,,2,,,3,,,3,2,3
Best Electronic,1,,,,,,,,,,"#DIV/0!","#DIV/0!","#DIV/0!"
Best Electronic,2,,,,,,,,,,"#DIV/0!","#DIV/0!","#DIV/0!"
Best Electronic,3,,,,,,,,,,"#DIV/0!","#DIV/0!","#DIV/0!"
Best Electronic,4,,,,,,,,,,"#DIV/0!","#DIV/0!","#DIV/0!"
Best Electronic,5,,,,,,,,,,"#DIV/0!","#DIV/0!","#DIV/0!"
Best Electronic,6,,,,,,,,,,"#DIV/0!","#DIV/0!","#DIV/0!"
Best Electronic,7,,,,,,,,,,"#DIV/0!","#DIV/0!","#DIV/0!"
Best Electronic,8,,,,,,,,,,"#DIV/0!","#DIV/0!","#DIV/0!"
Best Electronic,9,,,,,,,,,,"#DIV/0!","#DIV/0!","#DIV/0!"
Best Electronic,10,,,,,,,,,,"#DIV/0!","#DIV/0!","#DIV/0!"
Best Electronic,11,,,,,,,,,,"#DIV/0!","#DIV/0!","#DIV/0!"
Best Electronic,12,,,,,,,,,,"#DIV/0!","#DIV/0!","#DIV/0!"
Best Electronic,13,,,,,,,,,,"#DIV/0!","#DIV/0!","#DIV/0!"
